"","ch","release"
"1","11000000","ham.us"
"2","11000000","ham.us"
"3","11000000","ham.us"
"4","11000000","ham.us"
"5","11000000","ham.us"
"6","11000000","ham.us"
"7","11110000","ham.us"
"8","11100001","ham.us"
"9","11000000","ham.us"
"10","11000101","ham.us"
"11","11000000","ham.us"
"12","11000000","ham.us"
"13","11000000","ham.us"
"14","11000000","ham.us"
"15","11000000","ham.us"
"16","11000000","ham.us"
"17","11001100","ham.us"
"18","11101101","ham.us"
"19","11101000","ham.us"
"20","11000000","ham.us"
"21","11110000","ham.us"
"22","11101100","ham.us"
"23","11000000","ham.us"
"24","11000000","ham.us"
"25","11111000","ham.us"
"26","11000000","ham.us"
"27","11000000","ham.us"
"28","11110100","ham.us"
"29","11000000","ham.us"
"30","11000000","ham.us"
"31","11000000","ham.ds"
"32","11000000","ham.ds"
"33","11101101","ham.ds"
"34","11000100","ham.ds"
"35","11111100","ham.ds"
"36","11010000","ham.ds"
"37","11000000","ham.ds"
"38","11000000","ham.ds"
"39","11100000","ham.ds"
"40","11011101","ham.ds"
"41","11000000","ham.ds"
"42","11000000","ham.ds"
"43","11110100","ham.ds"
"44","11111101","ham.ds"
"45","11000000","ham.ds"
"46","11110100","ham.ds"
"47","11111100","ham.ds"
"48","11000100","ham.ds"
"49","11000000","ham.ds"
"50","11100100","ham.ds"
"51","11000000","ham.us"
"52","11000000","ham.us"
"53","11000000","ham.us"
"54","11000000","ham.us"
"55","11100000","ham.us"
"56","11100001","ham.us"
"57","11101100","ham.us"
"58","11110100","ham.us"
"59","11000000","ham.us"
"60","11000000","ham.us"
"61","11000000","ham.us"
"62","11100100","ham.us"
"63","11000000","ham.us"
"64","11000000","ham.us"
"65","11000000","ham.us"
"66","11000000","ham.ds"
"67","11000000","ham.ds"
"68","11000000","ham.ds"
"69","11001100","ham.ds"
"70","11000000","ham.ds"
"71","11000000","ham.ds"
"72","11100000","ham.ds"
"73","11110111","ham.ds"
"74","11100000","ham.ds"
"75","11000000","ham.ds"
"76","11000000","ham.ds"
"77","11101101","ham.ds"
"78","10000000","ham.ds"
"79","11000000","ham.ds"
"80","11100100","ham.ds"
"81","11000000","ham.us"
"82","11000000","ham.us"
"83","11000000","ham.us"
"84","11000000","ham.us"
"85","11000000","ham.us"
"86","11000000","ham.us"
"87","11000000","ham.us"
"88","11100100","ham.us"
"89","11000000","ham.us"
"90","11101000","ham.us"
"91","11111001","ham.us"
"92","11101100","ham.us"
"93","11111000","ham.us"
"94","11111000","ham.us"
"95","11000000","ham.ds"
"96","11000000","ham.ds"
"97","10000000","ham.ds"
"98","11011100","ham.ds"
"99","11000000","ham.ds"
"100","11000000","ham.ds"
"101","11000000","ham.ds"
"102","11000000","ham.ds"
"103","11000100","ham.ds"
"104","11000100","ham.ds"
"105","11000000","ham.ds"
"106","11000000","ham.ds"
"107","11000000","ham.ds"
"108","11000000","ham.ds"
"109","11000000","ham.ds"
"110","11101000","ham.ds"
"111","11010100","ham.ds"
"112","11101100","ham.ds"
"113","11100110","ham.ds"
"114","11000000","ham.ds"
"115","11000000","ham.us"
"116","11000000","ham.us"
"117","11101101","ham.us"
"118","11100000","ham.us"
"119","10000000","ham.us"
"120","11000000","ham.ds"
"121","11000000","ham.us"
"122","11100000","ham.us"
"123","11100000","ham.us"
"124","11100100","ham.ds"
"125","11100100","ham.ds"
"126","10000000","ham.us"
"127","11000000","ham.ds"
"128","11000000","ham.ds"
"129","11000000","ham.ds"
"130","11000000","ham.us"
"131","11000000","ham.us"
"132","11000000","ham.us"
"133","11110000","ham.ds"
"134","11000000","ham.ds"
"135","11000000","ham.ds"
"136","11000000","ham.ds"
"137","11000000","ham.ds"
"138","11000000","ham.ds"
"139","11000000","ham.ds"
"140","11000000","ham.us"
"141","11000000","ham.us"
"142","11011100","ham.us"
"143","11100000","ham.ds"
"144","11110000","ham.ds"
"145","11000000","ham.ds"
"146","11000000","ham.ds"
"147","11000000","ham.us"
