acoustic_tag_owner,acoustic_tag_manufacturer,acoustic_tag_serial_number,acoustic_tag_subtype,acoustic_tag_id,acoustic_tag_family,acoustic_tag_frequency,acoustic_tag_number,acoustic_tag_life_expectancy,transmitter_interval_min,transmitter_interval_max,acoustic_tag_ship_date,comments
InStream Fisheries Research Inc.,Innovasea,1388354,V9,A69-1602-64254,V9-2x-BLU-1,69,64254,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388355,V9,A69-1602-64255,V9-2x-BLU-1,69,64255,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388356,V9,A69-1602-64256,V9-2x-BLU-1,69,64256,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388357,V9,A69-1602-64257,V9-2x-BLU-1,69,64257,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388358,V9,A69-1602-64258,V9-2x-BLU-1,69,64258,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388359,V9,A69-1602-64259,V9-2x-BLU-1,69,64259,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388360,V9,A69-1602-64260,V9-2x-BLU-1,69,64260,912,110,190,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388361,V13,A69-1602-64231,V13-1x-BLU-1,69,64231,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388362,V13,A69-1602-64232,V13-1x-BLU-1,69,64232,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388363,V13,A69-1602-64233,V13-1x-BLU-1,69,64233,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388364,V13,A69-1602-64234,V13-1x-BLU-1,69,64234,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388365,V13,A69-1602-64235,V13-1x-BLU-1,69,64235,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388366,V13,A69-1602-64236,V13-1x-BLU-1,69,64236,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388367,V13,A69-1602-64237,V13-1x-BLU-1,69,64237,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388368,V13,A69-1602-64238,V13-1x-BLU-1,69,64238,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388369,V13,A69-1602-64239,V13-1x-BLU-1,69,64239,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388370,V13,A69-1602-64240,V13-1x-BLU-1,69,64240,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388371,V13,A69-1602-64241,V13-1x-BLU-1,69,64241,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388372,V13,A69-1602-64242,V13-1x-BLU-1,69,64242,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388373,V13,A69-1602-64243,V13-1x-BLU-1,69,64243,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388374,V13,A69-1602-64244,V13-1x-BLU-1,69,64244,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388375,V13,A69-1602-64245,V13-1x-BLU-1,69,64245,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388376,V13,A69-1602-64246,V13-1x-BLU-1,69,64246,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388377,V13,A69-1602-64247,V13-1x-BLU-1,69,64247,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388378,V13,A69-1602-64248,V13-1x-BLU-1,69,64248,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388379,V13,A69-1602-64249,V13-1x-BLU-1,69,64249,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388380,V13,A69-1602-64250,V13-1x-BLU-1,69,64250,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388381,V13,A69-1602-64251,V13-1x-BLU-1,69,64251,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388382,V13,A69-1602-64252,V13-1x-BLU-1,69,64252,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1388383,V13,A69-1602-64253,V13-1x-BLU-1,69,64253,1460,90,150,2021-05-31,
InStream Fisheries Research Inc.,Innovasea,1530419,V9,A69-1604-27442,V9-2x-BLU-1,69,27442,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530420,V9,A69-1604-27443,V9-2x-BLU-1,69,27443,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530421,V9,A69-1604-27444,V9-2x-BLU-1,69,27444,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530422,V9,A69-1604-27445,V9-2x-BLU-1,69,27445,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530423,V9,A69-1604-27446,V9-2x-BLU-1,69,27446,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530424,V9,A69-1604-27447,V9-2x-BLU-1,69,27447,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530425,V9,A69-1604-27448,V9-2x-BLU-1,69,27448,912,110,190,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530426,V13,A69-1604-27419,V13-1x-BLU-1,69,27419,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530427,V13,A69-1604-27420,V13-1x-BLU-1,69,27420,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530428,V13,A69-1604-27421,V13-1x-BLU-1,69,27421,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530429,V13,A69-1604-27422,V13-1x-BLU-1,69,27422,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530430,V13,A69-1604-27423,V13-1x-BLU-1,69,27423,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530431,V13,A69-1604-27424,V13-1x-BLU-1,69,27424,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530432,V13,A69-1604-27425,V13-1x-BLU-1,69,27425,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530433,V13,A69-1604-27426,V13-1x-BLU-1,69,27426,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530434,V13,A69-1604-27427,V13-1x-BLU-1,69,27427,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530435,V13,A69-1604-27428,V13-1x-BLU-1,69,27428,1460,90,150,2022-06-09,
