Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision
2024-05-09 22:17,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 22:18,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 22:40,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 22:40,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-09 22:41,VR2W-105458,A69-1604-37360,,,,,Hammersley Deep,,,,
2024-05-09 22:41,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-09 22:43,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 22:43,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 22:43,VR2W-105458,A69-1604-37327,,,,,Hammersley Deep,,,,
2024-05-09 22:43,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 22:44,VR2W-105458,A69-1604-37327,,,,,Hammersley Deep,,,,
2024-05-09 22:44,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 22:45,VR2W-105458,A69-1604-37327,,,,,Hammersley Deep,,,,
2024-05-09 22:45,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-09 22:47,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 22:49,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 22:49,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-09 22:49,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 22:50,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 22:51,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 22:52,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 22:52,VR2W-105458,A69-1604-37326,,,,,Hammersley Deep,,,,
2024-05-09 22:52,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 22:53,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-09 22:53,VR2W-105458,A69-1604-37326,,,,,Hammersley Deep,,,,
2024-05-09 22:53,VR2W-105458,A69-1604-37325,,,,,Hammersley Deep,,,,
2024-05-09 22:55,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 22:55,VR2W-105458,A69-1604-37325,,,,,Hammersley Deep,,,,
2024-05-09 22:56,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 22:56,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
2024-05-09 22:57,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-09 22:57,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-09 22:57,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 22:58,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 22:58,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 22:59,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:00,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-09 23:00,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-09 23:00,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-09 23:00,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:01,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:02,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:02,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:02,VR2W-105458,A69-1604-37326,,,,,Hammersley Deep,,,,
2024-05-09 23:03,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:03,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:03,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-09 23:03,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
