surgery.date,tagid,length,mass,trough,surgery.time,surgeon,comment,release.date
2024-05-07,37330,105,12.08,A,2:43,HK,,2024-05-09
2024-05-07,37315,117,15.93,A,1:58,HK,,2024-05-09
2024-05-07,37357,120,18.16,A,1:38,HK,,2024-05-09
2024-05-07,37332,113,15.46,A,1:27,HK,,2024-05-09
2024-05-07,37359,113,15.72,A,1:10,HK,,2024-05-09
2024-05-07,37305,115,15.65,A,1:34,HK,,2024-05-09
2024-05-07,37324,112,13.58,A,1:38,HK,,2024-05-09
2024-05-07,37323,112,14.42,A,1:32,HK,,2024-05-09
2024-05-07,37297,116,17.18,A,1:54,HK,,2024-05-09
2024-05-07,37360,120,17.5,B,2:41,NM,,2024-05-09
2024-05-07,37307,122,17.73,B,3:08,NM,,2024-05-09
2024-05-07,37334,125,19.7,B,2:13,NM,,2024-05-09
2024-05-07,37336,108,13.87,B,4:30,NM,,2024-05-09
2024-05-07,37353,129,22.63,B,1:40,NM,,2024-05-09
2024-05-07,37316,120,18.04,B,3:30,NM,,2024-05-09
2024-05-07,37343,123,18.78,B,3:45,NM,,2024-05-09
2024-05-07,37299,127,20,B,2:10,NM,,2024-05-09
2024-05-07,37317,135,25.7,B,2:03,NM,,2024-05-09
2024-05-07,37345,121,18.03,B,2:10,NM,,2024-05-09
2024-05-07,37340,120,17.98,A,2:21,SL,,2024-05-09
2024-05-07,37313,130,22.95,A,1:30,SL,,2024-05-09
2024-05-07,37358,127,19.62,A,1:54,SL,,2024-05-09
2024-05-07,37322,130,21.82,A,1:38,SL,,2024-05-09
2024-05-07,37348,126,18.86,A,2:04,SL,blood,2024-05-09
2024-05-07,37295,116,16.24,A,1:11,SL,,2024-05-09
2024-05-07,37304,130,21.56,A,1:06,SL,,2024-05-09
2024-05-07,37331,114,16.23,A,2:10,SL,,2024-05-09
2024-05-07,37321,116,17.34,A,1:10,SL,blood,2024-05-09
2024-05-07,37349,122,18.33,A,1:15,SL,blood,2024-05-09
2024-05-07,37341,114,15.14,A,3:08,HK,,2024-05-09
2024-05-07,37339,129,22.55,A,3:06,HK,,2024-05-09
2024-05-07,37312,124,18.83,A,2:18,HK,,2024-05-09
2024-05-07,37306,129,21.86,A,,KS,,2024-05-09
2024-05-07,37294,109,14.42,A,,KS,,2024-05-09
2024-05-07,37351,114,14.61,A,2:28,KS,blood,2024-05-09
2024-05-07,37296,109,12.19,A,2:07,KS,,2024-05-09
2024-05-07,37333,112,16.14,A,,KS,,2024-05-09
2024-05-07,37342,126,19.28,A,2:40,KS,blood,2024-05-09
2024-05-07,37350,122,17.54,A,2:25,KS,blood,2024-05-09
2024-05-07,37314,117,18.45,A,2:40,KS,,2024-05-09
2024-05-07,37325,120,17.99,B,3:52,CM,,2024-05-09
2024-05-07,37352,130,25.19,B,2:54,CM,,2024-05-09
2024-05-07,37361,111,13.55,B,2:35,CM,,2024-05-09
2024-05-07,37308,122,17.85,B,,CM,,2024-05-09
2024-05-07,37327,123,18.95,B,,CM,,2024-05-09
2024-05-07,37344,114,15.22,B,2:33,CM,,2024-05-09
2024-05-07,37301,120,18.61,B,2:10,CM,,2024-05-09
2024-05-07,37362,130,22.34,B,1:49,CM,,2024-05-09
2024-05-07,37326,130,22.47,B,1:49,CM,,2024-05-09
2024-05-07,37335,119,16,B,2:45,CM,,2024-05-09
2024-05-08,37337,120,15.92,D,,CM,,2024-05-10
2024-05-08,37320,128,21.8,D,2:59,CM,blood,2024-05-10
2024-05-08,37329,121,17.89,D,1:53,CM,,2024-05-10
2024-05-08,37338,122,17.26,D,2:44,CM,,2024-05-10
2024-05-08,37302,119,16.73,D,2:01,CM,,2024-05-10
2024-05-08,37559,118,16.14,E,1:44,KS,,2024-05-10
2024-05-08,37557,111,12.78,E,1:28,KS,,2024-05-10
2024-05-08,37555,110,11.59,E,1:49,KS,,2024-05-10
2024-05-08,37558,114,14.91,E,1:36,KS,,2024-05-10
2024-05-08,37564,110,13.83,E,1:32,KS,,2024-05-10
2024-05-08,37560,121,18.34,E,1:47,KS,,2024-05-10
2024-05-08,37556,120,17.3,E,1:23,KS,2 sutures,2024-05-10
2024-05-08,37347,117,12.69,E,1:05,KS,red at base of gills,2024-05-10
2024-05-08,37363,117,15.58,E,1:20,KS,,2024-05-10
2024-05-08,37311,119,16.77,D,2:13,HK,,2024-05-10
2024-05-08,37310,113,15.26,D,1:45,HK,,2024-05-10
2024-05-08,37300,128,20.01,D,1:34,HK,,2024-05-10
