Date,Site,treatment,dissolved oxygen,temp,release.time,sample.time],Tag ID,Vial and Muscle Number,Length,loss of stimuli response,Loss of orientation (y/n),Loss of neutral buoyancy (y/n),Convulsive movements,Exophthalmia (pop-eye) (y/n),Stomach evulsion (y/n),Vent blood or bile secretions (y/n),Emboli pelvic fins (y/n),Hemorrhage in eye (y/n),fin hemorrage (y/n),"Scale loss (0.1,2,3)","Contusion location (None, Head, Body)",Lacerations  (y/n), lactate,hemoglobin,evidence of internal hemmorage,"Hemorrhage location (N, L, K, I, U)",Ruptured swim bladder (y/n),Emboli gills (y/n),hematocrit 1,comment
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,101,110,n,n,n,n,n,n,n,n,n,n,0,n,n,na,98,n,n,n,n,2.416666667,
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,102,121,n,n,n,n,n,n,n,n,n,n,0,n,n,2.9,102,n,n,n,n,2.80952381,
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,103,105,n,n,n,n,n,n,n,n,n,n,0,n,n,8.2,99,n,n,n,n,2.333333333,dropped on the ground!
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,104,119,n,n,n,n,n,n,n,n,n,n,0,n,n,1.8,92,n,n,n,n,4.111111111,
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,na,102,n,n,n,n,n,n,n,n,n,n,0,n,n,na,na,n,n,n,n,na,too small for blood
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,105,115,n,n,n,n,n,n,n,n,n,n,0,n,n,1.7,97,n,n,n,n,3.75,
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,106,106,n,n,n,n,n,n,n,n,n,n,0,n,n,3.9,120,n,n,n,n,3.5,missing caudal fin
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,107,116,n,n,n,n,n,n,n,n,n,n,0,n,n,3.2,99,n,n,n,n,2.8,
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,108,106,n,n,n,n,n,n,n,n,n,n,0,n,n,1.2,99,n,n,n,n,3.125,
2024-05-06,hatchery,baseline,106,9.6,12:30,12:30,na,109,112,n,n,n,n,n,n,n,n,n,n,0,n,n,3.5,157,n,n,n,n,2.384615385,
