tagname,n,stations,receivers
A69-9001-2308,47,"FRENCH_CK, HORSESHOE_60_WEST","VR2AR-550595, VR2AR-550598"
A69-1604-62117,22,"EAGLE_ROCK, FRENCH_CK, SANGSTER_I","VR2AR-550593, VR2AR-550595, VR2W-128367"
A69-9001-16060,22,"EAGLE_ROCK, FRENCH_CK, MAUDE_REEF","VR2AR-550595, VR2W-128367, VR2W-128369"
A69-1604-17782,16,SANGSTER_I,VR2AR-550593
A69-1604-17718,12,"FRENCH_CK, SANGSTER_I","VR2AR-550593, VR2AR-550595"
A69-1604-17750,10,FRENCH_CK,VR2AR-550595
A69-1303-58759,3,"DENMAN_60, HORSESHOE_60_WEST","VR2AR-550598, VR2AR-553959"
A69-1604-37391,2,SANGSTER_I,VR2AR-550593
A69-1303-31343,1,HORSESHOE_120,VR2AR-553960
A69-1601-14909,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1601-14955,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1601-20982,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1601-33175,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1601-60272,1,DENMAN_60,VR2AR-553959
A69-1602-12721,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1602-72,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1602-9671,1,DENMAN_120,VR2AR-550597
A69-1604-10050,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-13213,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-15915,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-23849,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-27947,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-38952,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-39215,1,DENMAN_60,VR2AR-553959
A69-1604-42755,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-43660,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-44461,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-46523,1,NORTH_DENMAN_90,VR2AR-550030
A69-1604-47164,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-53849,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-54923,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-5664,1,DENMAN_60,VR2AR-553959
A69-1604-59484,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-7557,1,HORSESHOE_60_WEST,VR2AR-550598
A69-1604-7944,1,HORSESHOE_60_WEST,VR2AR-550598
