release.date,release.time,release.location,id.prefix,last.four,treatment
2024-05-23,13:20,ham.us,384.3a70c4,fde1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9cd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb89,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe43,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f925,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,faf2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcf5,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa5f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe82,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fde6,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9cf,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f923,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb02,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdfd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb92,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbb9,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc6d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f953,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f960,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd5e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa56,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9d7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,db0c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbf2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe63,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdd1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc90,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f971,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe4e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe0b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc92,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb27,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9ae,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa23,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd1b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc9b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc03,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe91,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9a9,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbf8,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f942,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa10,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe31,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe25,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa7c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa6b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe46,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f96f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa9a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8d3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdfc,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc41,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa34,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f957,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd32,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,dfd4e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc2b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcae,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd6d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbd2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbfe,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbdb,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc3b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,facf,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f974,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f969,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f984,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc49,archimedes1
