release.date,release.time,id.prefix,last.four,release.location,treatment
2024-05-24,9:55:00 AM,384.3a70c4,f96a,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd71,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa28,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe56,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa2c,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc0f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc8f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe1f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fcd6,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb31,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb64,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd14,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb55,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd99,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd65,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa11,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb04,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb63,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f8dc,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd26,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fac9,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe84,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fdd2,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd52,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fbc3,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fccd,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd9c,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fcf1,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd3c,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f99f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd9f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe55,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe04,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fad2,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd27,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fcd3,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,faa4,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fca3,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fbb3,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fda9,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fad7,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fdd2,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd9d,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc81,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd43,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fabf,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa53,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc4b,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fbb8,ham.us,archimedes2
